Country,65+,25-64 years,15-24 years,5-14 years,0-4 years
Afghanistan,964016,12995277,8727160,10922454,6490554
Albania,463442,1527360,399113,323402,141393
Algeria,2731079,21871300,6007614,8697129,4870841
American Samoa,3088,22433,7141,8365,4029
Andorra,11499,48651,8570,7797,2540
Angola,895191,11501196,6518893,9605090,5983405
Anguilla,1614,9691,1691,1983,800
Antigua and Barbuda,9508,52648,13531,12231,5311
Argentina,5352580,22383468,6965561,7242438,3332743
Armenia,355723,1539960,325301,387068,182919
Aruba,16564,59261,12823,12952,4943
Australia,4294906,13679232,3184388,3225094,1537474
Austria,1734558,4977314,926726,852640,430848
Azerbaijan,692682,5783975,1368958,1762053,705324
Bahamas,34956,225689,67231,56841,23203
Bahrain,51052,956937,157104,200565,97608
Bangladesh,9868579,81719304,32968586,30136449,14663335
Barbados,44197,151848,36900,33175,15084
Belarus,1611927,5421322,931927,1139283,473713
Belgium,2254595,6097025,1322070,1338242,599484
Belize,19833,189018,78238,75456,37492
Benin,399839,4546362,2516881,3397149,2136670
Bermuda,12643,35275,6728,6746,2821
Bhutan,47716,407969,144526,126496,50793
Bolivia,593121,5433026,2293954,2487439,1271934
Bonaire Sint Eustatius and Saba,3605,15964,2618,3110,1433
Bosnia and Herzegovina,593456,1828863,360627,334083,153919
Botswana,92992,1178702,464757,555434,296539
Brazil,20534732,116867260,32900180,29783427,14240613
British Virgin Islands,2953,19234,4220,3574,1164
Brunei,25885,251953,68019,67555,31970
Bulgaria,1543888,3760458,617861,657531,306126
Burkina Faso,562955,7398879,4394451,6176674,3567731
Burundi,310795,4118387,2311642,3756566,2053825
Cambodia,917741,8055439,2755375,3247412,1613064
Cameroon,734810,9588516,5334788,7194696,4345822
Canada,7066799,20586004,4499140,4101831,1901237
Cape Verde,31995,291366,108106,106024,50445
Cayman Islands,5340,44844,6531,7684,3758
Central African Republic,136388,1490879,1200448,1644639,984811
Chad,347091,5284441,3360446,4970083,3217682
Chile,2471958,10771065,2652315,2446815,1151031
China,187501470,825714200,160749910,177138190,74789700
Colombia,4492094,27361996,8536965,7455032,3670471
Comoros,35364,317580,154307,200693,113688
Congo,156274,2185133,1078314,1569199,846894
Cook Islands,1929,8570,2500,2627,1402
Costa Rica,542728,2784971,767201,730010,329049
Cote d'Ivoire,660329,9643035,5689547,7283291,4202048
Croatia,892052,2168761,425323,393513,180490
Cuba,1763913,6373383,1340637,1225423,553017
Curacao,27755,101429,28038,22925,10201
Cyprus,180164,731175,134010,132228,66616
Czechia,2149717,5713523,965478,1131448,550582
Democratic Republic of Congo,2840766,30213936,18224676,26916808,17697936
Denmark,1186587,3003875,717438,636051,310295
Djibouti,49708,498042,217624,223815,116373
Dominica,6758,39358,11935,9734,4650
Dominican Republic,796941,5347698,1931427,2026383,1015424
